time,bytetime,press,count,key,stimDur,Bias,sequence
5.165560007095337,5137,[1],51,[5],0.1,0.06,"[ 1.  1. -1. -1.  1.  1. -1. -1.  1.  1. -1. -1.  1.  1.  1. -1.  1. -1.
  1. -1.  1.  1. -1.  1.  1. -1.  1.  1.  1. -1. -1.  1.  1.  1.  1. -1.
  1.  1.  1. -1.  1. -1. -1. -1. -1.  1.  1. -1.  1. -1.  1. -1.  1.  1.
 -1.  1. -1.  1.  1. -1.]"
5.033894062042236,5011,[1],50,[2],0.1,0.06,"[-1. -1. -1. -1.  1. -1. -1.  1. -1.  1.  1. -1.  1. -1. -1.  1. -1.  1.
 -1.  1.  1. -1. -1. -1.  1.  1.  1.  1. -1. -1.  1. -1. -1.  1. -1.  1.
  1. -1.  1.  1.  1. -1.  1. -1. -1.  1. -1.  1. -1.  1.  1. -1. -1.  1.
  1. -1.  1. -1. -1.  1.]"
4.8829920291900635,4867,[1],48,[2],0.1,0.06,"[ 1.  1. -1. -1.  1.  1.  1.  1. -1.  1. -1. -1. -1. -1.  1.  1.  1.  1.
  1. -1. -1. -1.  1. -1. -1. -1.  1. -1.  1. -1. -1. -1.  1.  1.  1.  1.
 -1.  1.  1. -1.  1.  1. -1.  1. -1.  1. -1.  1. -1.  1. -1. -1.  1. -1.
  1. -1.  1. -1.  1.  1.]"
6.0160510540008545,[],[],60,[],0.1,0.06,"[ 1. -1. -1.  1.  1. -1. -1. -1.  1. -1.  1. -1. -1.  1. -1. -1.  1. -1.
 -1. -1. -1.  1.  1. -1. -1.  1. -1. -1. -1.  1. -1. -1. -1. -1. -1. -1.
  1.  1. -1. -1. -1.  1.  1.  1. -1.  1.  1. -1. -1. -1. -1. -1.  1. -1.
  1. -1. -1.  1. -1.  1.]"
4.933883190155029,4921,[1],49,[2],0.1,0.06,"[ 1.  1. -1. -1. -1.  1.  1.  1.  1.  1.  1.  1. -1. -1. -1.  1.  1. -1.
  1. -1.  1.  1.  1.  1.  1. -1. -1. -1. -1. -1.  1. -1.  1.  1.  1.  1.
 -1. -1. -1.  1. -1. -1. -1. -1.  1. -1. -1. -1.  1. -1.  1. -1.  1. -1.
 -1. -1. -1.  1.  1.  1.]"
5.183164119720459,5168,[1],51,[2],0.1,0.06,"[-1.  1. -1.  1. -1.  1. -1. -1. -1.  1. -1.  1. -1. -1. -1. -1.  1. -1.
  1. -1. -1.  1. -1.  1. -1.  1. -1.  1. -1. -1.  1.  1.  1. -1. -1. -1.
 -1.  1. -1. -1. -1.  1. -1. -1.  1. -1.  1. -1. -1. -1.  1.  1. -1.  1.
 -1. -1.  1.  1.  1. -1.]"
6.015532970428467,[],[],60,[],0.1,0.06,"[ 1.  1. -1. -1.  1. -1.  1.  1.  1. -1.  1.  1. -1. -1. -1.  1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1.  1.  1.  1.  1.  1.  1.  1. -1.  1. -1.  1.
  1.  1. -1.  1.  1.  1.  1. -1. -1.  1.  1.  1.  1. -1. -1. -1. -1.  1.
  1.  1. -1.  1.  1. -1.]"
5.400499105453491,5384,[1],53,[5],0.1,0.06,"[ 1.  1. -1. -1. -1.  1.  1.  1.  1.  1. -1. -1. -1.  1.  1. -1. -1.  1.
  1.  1. -1.  1. -1. -1.  1. -1.  1. -1.  1. -1.  1.  1.  1.  1.  1. -1.
 -1.  1.  1. -1. -1.  1.  1. -1. -1. -1.  1.  1. -1. -1. -1. -1. -1.  1.
  1. -1.  1.  1.  1. -1.]"
3.53328800201416,3511,[1],35,[5],0.1,0.06,"[ 1.  1. -1. -1. -1.  1.  1. -1. -1. -1. -1.  1. -1.  1. -1. -1. -1.  1.
 -1.  1. -1. -1.  1.  1. -1. -1.  1. -1. -1. -1.  1.  1. -1. -1. -1. -1.
 -1. -1. -1. -1.  1.  1.  1. -1.  1. -1. -1. -1. -1. -1.  1. -1. -1.  1.
  1. -1. -1. -1. -1. -1.]"
6.015622138977051,[],[],60,[],0.1,0.06,"[-1.  1. -1.  1.  1. -1.  1.  1. -1. -1. -1.  1. -1. -1. -1. -1. -1. -1.
  1.  1. -1. -1. -1. -1. -1.  1. -1.  1. -1.  1. -1. -1. -1. -1. -1. -1.
 -1.  1. -1. -1. -1. -1. -1. -1.  1. -1. -1. -1. -1. -1.  1. -1. -1.  1.
  1. -1. -1. -1.  1. -1.]"
