time,bytetime,press,count,key,stimDur,Bias,sequence
1.5167310237884521,116290,[1],7,[5],0.2,0.12,"[ 1.  1.  1.  1. -1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1. -1.
  1.  1.  1.  1. -1. -1. -1.  1.  1. -1.  1. -1.]"
1.83331298828125,119649,[1],9,[2],0.2,0.12,"[-1.  1. -1. -1. -1. -1.  1. -1. -1.  1. -1. -1.  1. -1. -1.  1. -1. -1.
  1. -1. -1.  1.  1. -1. -1.  1. -1. -1.  1. -1.]"
1.9833171367645264,123157,[1],9,[5],0.2,0.12,"[ 1.  1. -1.  1.  1. -1.  1.  1. -1. -1. -1.  1. -1. -1. -1.  1.  1. -1.
 -1.  1.  1.  1. -1. -1. -1. -1. -1.  1.  1.  1.]"
2.299973964691162,126974,[1],11,[2],0.2,0.12,"[-1. -1.  1. -1.  1. -1. -1. -1.  1. -1.  1.  1. -1.  1.  1.  1. -1.  1.
  1.  1.  1.  1. -1. -1.  1.  1.  1.  1.  1.  1.]"
2.5999538898468018,131108,[1],12,[2],0.2,0.12,"[-1.  1.  1.  1. -1.  1.  1. -1. -1. -1. -1. -1. -1. -1.  1. -1.  1.  1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.  1. -1.]"
3.0499532222747803,135674,[1],15,[2],0.2,0.12,"[ 1.  1. -1. -1.  1. -1. -1. -1.  1. -1. -1.  1.  1. -1.  1.  1.  1. -1.
  1. -1.  1. -1.  1. -1. -1.  1. -1. -1.  1.  1.]"
2.8666348457336426,140073,[1],14,[2],0.2,0.12,"[-1. -1. -1.  1. -1. -1.  1. -1. -1. -1.  1. -1. -1.  1. -1. -1. -1. -1.
  1.  1. -1.  1.  1. -1. -1. -1.  1.  1. -1. -1.]"
3.099961996078491,144696,[1],15,[2],0.2,0.12,"[-1.  1. -1. -1. -1. -1. -1. -1.  1. -1.  1. -1. -1.  1.  1. -1.  1. -1.
 -1. -1.  1.  1.  1.  1. -1.  1.  1. -1. -1.  1.]"
1.7499828338623047,147971,[1],8,[5],0.2,0.12,"[ 1.  1. -1.  1.  1.  1. -1.  1. -1.  1.  1.  1.  1.  1. -1. -1. -1.  1.
  1.  1.  1. -1.  1.  1.  1.  1.  1. -1.  1. -1.]"
1.4333460330963135,150935,[1],7,[2],0.2,0.12,"[-1. -1. -1. -1. -1. -1. -1. -1. -1.  1.  1. -1. -1.  1. -1.  1. -1. -1.
 -1.  1.  1.  1.  1.  1. -1. -1.  1. -1.  1.  1.]"
2.1999800205230713,154652,[1],10,[5],0.2,0.12,"[-1.  1.  1.  1.  1. -1. -1. -1.  1.  1.  1. -1.  1. -1.  1. -1.  1. -1.
  1. -1.  1. -1.  1.  1.  1. -1.  1.  1.  1. -1.]"
3.4666271209716797,159643,[1],17,[5],0.2,0.12,"[ 1.  1. -1.  1.  1. -1. -1. -1. -1. -1.  1. -1. -1.  1.  1.  1. -1.  1.
 -1.  1.  1. -1.  1. -1. -1. -1. -1. -1.  1. -1.]"
2.766657829284668,163941,[1],13,[2],0.2,0.12,"[-1.  1. -1.  1. -1. -1. -1. -1.  1. -1. -1. -1. -1. -1. -1. -1.  1. -1.
 -1.  1. -1. -1. -1. -1. -1.  1. -1.  1. -1.  1.]"
3.133294105529785,168589,[1],15,[5],0.2,0.12,"[-1. -1. -1.  1. -1.  1. -1.  1.  1. -1.  1.  1.  1. -1.  1. -1.  1. -1.
 -1.  1. -1. -1. -1.  1.  1.  1.  1.  1.  1. -1.]"
2.899972915649414,173014,[1],14,[5],0.2,0.12,"[-1.  1.  1. -1.  1.  1.  1.  1. -1.  1.  1. -1.  1.  1.  1. -1.  1.  1.
 -1. -1.  1.  1. -1. -1.  1. -1.  1. -1. -1.  1.]"
1.4499869346618652,175994,[1],7,[5],0.2,0.12,"[ 1.  1.  1.  1.  1.  1.  1.  1. -1.  1. -1.  1. -1.  1. -1. -1. -1. -1.
  1. -1. -1. -1.  1. -1.  1. -1.  1.  1. -1.  1.]"
1.866654872894287,179388,[1],9,[2],0.2,0.12,"[-1. -1. -1. -1. -1. -1. -1. -1. -1.  1. -1. -1.  1. -1. -1. -1.  1. -1.
 -1. -1. -1. -1.  1.  1. -1.  1.  1. -1. -1.  1.]"
2.2166390419006348,183135,[1],11,[2],0.2,0.12,"[-1. -1. -1. -1. -1. -1.  1. -1. -1. -1. -1. -1. -1. -1. -1. -1.  1. -1.
  1. -1. -1. -1.  1. -1. -1. -1. -1. -1.  1.  1.]"
2.9666318893432617,187628,[1],14,[2],0.2,0.12,"[ 1. -1.  1.  1. -1. -1. -1.  1. -1. -1. -1. -1. -1. -1.  1.  1. -1.  1.
  1. -1.  1. -1.  1.  1.  1. -1. -1. -1.  1. -1.]"
4.233251094818115,193387,[1],21,[5],0.2,0.12,"[-1.  1. -1. -1. -1.  1. -1.  1.  1.  1. -1. -1.  1. -1.  1. -1.  1.  1.
  1. -1. -1. -1.  1. -1.  1. -1. -1.  1.  1. -1.]"
3.8832919597625732,198788,[1],19,[2],0.2,0.12,"[ 1. -1. -1. -1.  1.  1. -1.  1.  1. -1. -1. -1. -1.  1.  1. -1. -1. -1.
 -1. -1. -1.  1. -1. -1. -1. -1.  1.  1. -1. -1.]"
