time,bytetime,press,count,key,stimDur,Bias,sequence
2.483384132385254,2463,[1],37,[2],0.08,0.06,"[-1.  1. -1.  1. -1.  1.  1. -1.  1. -1.  1.  1. -1. -1.  1. -1. -1.  1.
  1. -1. -1. -1. -1. -1. -1.  1. -1.  1. -1. -1.  1. -1.  1.  1.  1.  1.
 -1.  1.  1.  1.  1.  1.  1. -1.  1. -1.  1. -1. -1.  1. -1.  1.  1. -1.
  1. -1. -1. -1.  1.  1.]"
4.016725063323975,[],[],60,[],0.08,0.06,"[ 1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1. -1. -1.  1.
 -1.  1.  1.  1.  1. -1. -1. -1.  1. -1.  1. -1.  1.  1. -1.  1.  1.  1.
  1. -1. -1.  1.  1. -1.  1.  1.  1.  1.  1. -1.  1. -1.  1.  1.  1.  1.
  1. -1.  1. -1. -1.  1.]"
3.6326260566711426,3607,[1],54,[5],0.08,0.06,"[-1. -1.  1.  1.  1.  1. -1.  1. -1. -1. -1.  1.  1. -1.  1. -1.  1. -1.
  1. -1. -1. -1.  1.  1.  1.  1. -1. -1. -1.  1.  1.  1. -1. -1. -1. -1.
 -1.  1.  1.  1. -1.  1.  1. -1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.
  1. -1.  1. -1.  1.  1.]"
4.016103029251099,[],[],60,[],0.08,0.06,"[ 1.  1.  1. -1.  1. -1. -1. -1. -1. -1.  1.  1. -1. -1. -1. -1. -1. -1.
 -1.  1. -1. -1.  1.  1.  1. -1. -1.  1. -1. -1. -1. -1.  1.  1.  1. -1.
 -1.  1. -1.  1.  1.  1. -1.  1.  1.  1.  1.  1. -1.  1.  1. -1. -1.  1.
  1.  1.  1.  1.  1.  1.]"
2.0994670391082764,2077,[1],31,[2],0.08,0.06,"[ 1.  1. -1. -1.  1. -1.  1. -1. -1.  1.  1.  1.  1.  1. -1. -1.  1.  1.
  1. -1. -1.  1. -1. -1. -1.  1. -1. -1.  1.  1. -1. -1. -1. -1. -1.  1.
  1.  1.  1. -1.  1.  1.  1. -1. -1. -1. -1. -1. -1.  1.  1.  1. -1.  1.
 -1.  1. -1.  1. -1. -1.]"
1.932784080505371,1919,[1],28,[5],0.08,0.06,"[-1. -1.  1.  1. -1. -1.  1. -1. -1. -1.  1.  1.  1. -1.  1.  1.  1. -1.
  1.  1.  1.  1. -1.  1.  1. -1. -1.  1.  1. -1. -1. -1. -1.  1.  1. -1.
  1. -1.  1.  1.  1. -1.  1. -1. -1. -1.  1.  1.  1.  1. -1. -1.  1.  1.
  1.  1. -1. -1.  1. -1.]"
3.8999838829040527,3888,[1],58,[2],0.08,0.06,"[-1. -1.  1. -1. -1. -1. -1.  1.  1. -1. -1. -1. -1. -1. -1.  1. -1. -1.
  1. -1.  1. -1.  1. -1. -1. -1. -1.  1.  1.  1. -1. -1.  1.  1.  1.  1.
 -1. -1. -1. -1.  1. -1. -1. -1.  1.  1.  1.  1. -1. -1.  1. -1. -1. -1.
 -1. -1.  1. -1. -1.  1.]"
4.016364097595215,[],[],60,[],0.08,0.06,"[-1. -1.  1.  1. -1. -1.  1.  1.  1.  1. -1. -1. -1.  1.  1. -1. -1.  1.
 -1. -1.  1.  1. -1. -1. -1. -1. -1. -1.  1. -1.  1.  1. -1.  1. -1.  1.
  1. -1. -1.  1.  1. -1.  1. -1. -1.  1.  1.  1.  1.  1.  1.  1. -1. -1.
  1.  1. -1.  1.  1. -1.]"
4.0167529582977295,[],[],60,[],0.08,0.06,"[-1. -1.  1.  1. -1.  1.  1. -1. -1.  1. -1.  1. -1.  1. -1.  1.  1.  1.
 -1.  1. -1.  1. -1. -1. -1. -1.  1.  1.  1.  1.  1.  1. -1.  1. -1. -1.
 -1.  1. -1.  1.  1.  1.  1.  1.  1. -1.  1.  1. -1. -1.  1.  1. -1.  1.
 -1.  1. -1.  1. -1. -1.]"
4.016708850860596,[],[],60,[],0.08,0.06,"[-1. -1. -1.  1.  1. -1.  1.  1. -1. -1.  1. -1.  1. -1.  1.  1.  1. -1.
  1. -1.  1. -1.  1. -1.  1.  1.  1. -1. -1.  1.  1. -1.  1.  1. -1. -1.
 -1.  1. -1. -1.  1.  1.  1. -1. -1. -1.  1. -1.  1.  1.  1.  1.  1. -1.
  1.  1. -1.  1.  1.  1.]"
2.766731023788452,2752,[1],41,[2],0.08,0.06,"[-1.  1. -1.  1. -1.  1. -1.  1.  1. -1. -1. -1.  1.  1. -1. -1. -1.  1.
  1. -1.  1. -1. -1. -1.  1.  1.  1.  1. -1. -1.  1. -1.  1. -1. -1. -1.
  1. -1. -1. -1. -1. -1.  1. -1. -1. -1. -1. -1. -1.  1. -1. -1. -1. -1.
 -1.  1. -1. -1. -1. -1.]"
