time,bytetime,press,count,key,stimDur,Bias,sequence
2.7501349449157715,2722,[1],41,[5],0.08,0.06,"[ 1. -1. -1.  1. -1.  1. -1.  1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1.  1. -1. -1.  1. -1. -1. -1. -1.  1.  1. -1.  1.  1.  1. -1.  1.  1.
  1. -1.  1. -1.  1. -1. -1.  1. -1.  1. -1.  1. -1.  1.  1. -1.  1. -1.
  1.  1.  1.  1.  1.  1.]"
6.649933815002441,6627,[1],60,[5],0.08,0.06,"[ 1. -1. -1.  1. -1.  1.  1. -1.  1.  1. -1.  1. -1.  1. -1. -1.  1.  1.
  1.  1. -1. -1. -1. -1. -1.  1. -1. -1. -1. -1. -1. -1.  1.  1. -1.  1.
  1.  1.  1.  1. -1. -1.  1.  1.  1.  1. -1.  1.  1. -1. -1. -1.  1.  1.
 -1.  1.  1. -1.  1. -1.]"
