time,bytetime,press,count,key,stimDur,Bias,sequence
4.014982223510742,[],[],60,[],0.08,0.06,"[-1. -1. -1. -1.  1.  1. -1. -1. -1. -1.  1. -1. -1. -1.  1. -1. -1. -1.
  1. -1.  1. -1. -1.  1.  1. -1. -1.  1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1.  1. -1. -1. -1.  1. -1. -1.  1. -1.  1. -1. -1. -1. -1.  1. -1.
 -1.  1. -1. -1. -1.  1.]"
2.783051013946533,2769,[1],41,[5],0.08,0.06,"[ 1.  1. -1.  1. -1. -1. -1. -1. -1.  1. -1. -1. -1. -1. -1.  1. -1. -1.
 -1. -1.  1.  1. -1. -1. -1.  1. -1.  1. -1. -1. -1.  1.  1.  1. -1.  1.
 -1. -1.  1. -1.  1.  1. -1.  1. -1.  1.  1.  1. -1. -1. -1.  1. -1.  1.
 -1. -1. -1. -1. -1. -1.]"
3.0838210582733154,3055,[1],46,[5],0.08,0.06,"[-1.  1.  1. -1. -1.  1. -1.  1.  1. -1. -1. -1. -1. -1. -1.  1. -1.  1.
 -1. -1. -1. -1.  1.  1.  1.  1. -1. -1. -1. -1.  1.  1. -1. -1.  1. -1.
 -1. -1. -1.  1. -1.  1. -1. -1.  1. -1.  1. -1. -1.  1. -1.  1.  1. -1.
  1. -1. -1.  1.  1.  1.]"
4.016297817230225,[],[],60,[],0.08,0.06,"[-1. -1.  1.  1. -1.  1. -1.  1.  1.  1. -1. -1.  1. -1.  1.  1. -1.  1.
  1.  1.  1. -1. -1.  1.  1. -1.  1. -1.  1.  1. -1. -1.  1. -1. -1.  1.
 -1. -1.  1. -1. -1. -1.  1. -1.  1.  1. -1. -1.  1. -1.  1. -1. -1.  1.
  1. -1.  1. -1. -1.  1.]"
3.9819319248199463,3958,[1],59,[5],0.08,0.06,"[-1.  1. -1. -1. -1.  1.  1.  1.  1.  1. -1. -1. -1.  1.  1.  1.  1. -1.
 -1. -1. -1. -1. -1. -1. -1.  1.  1.  1. -1.  1.  1. -1. -1. -1. -1.  1.
 -1.  1.  1.  1.  1. -1.  1.  1.  1.  1. -1. -1.  1.  1.  1. -1. -1.  1.
 -1.  1. -1.  1. -1. -1.]"
4.016888856887817,[],[],60,[],0.08,0.06,"[ 1.  1. -1.  1. -1. -1. -1.  1.  1.  1.  1. -1.  1. -1.  1.  1.  1.  1.
 -1.  1. -1.  1. -1.  1.  1.  1. -1. -1. -1.  1.  1.  1.  1. -1.  1. -1.
 -1. -1.  1.  1.  1. -1. -1. -1.  1.  1. -1.  1.  1. -1. -1. -1.  1. -1.
  1. -1. -1.  1.  1. -1.]"
4.033361196517944,27,[0],60,[5],0.08,0.06,"[-1. -1. -1. -1. -1. -1.  1.  1.  1. -1.  1. -1. -1.  1.  1. -1.  1.  1.
 -1. -1. -1.  1. -1. -1.  1.  1. -1. -1.  1.  1. -1.  1. -1. -1. -1.  1.
  1.  1. -1.  1.  1.  1.  1.  1. -1.  1.  1. -1.  1. -1. -1. -1. -1. -1.
  1.  1.  1.  1.  1.  1.]"
4.0167810916900635,[],[],60,[],0.08,0.06,"[ 1. -1. -1. -1.  1.  1.  1. -1.  1. -1. -1.  1.  1.  1.  1. -1.  1. -1.
  1. -1.  1.  1.  1. -1.  1.  1.  1.  1. -1.  1. -1. -1.  1. -1.  1. -1.
  1. -1.  1.  1. -1.  1. -1. -1. -1. -1. -1.  1. -1.  1. -1.  1. -1. -1.
  1. -1. -1.  1.  1.  1.]"
4.013596057891846,[],[],60,[],0.08,0.06,"[-1. -1. -1. -1. -1.  1.  1. -1. -1.  1. -1. -1. -1. -1. -1.  1. -1. -1.
 -1.  1. -1. -1.  1.  1. -1.  1. -1.  1. -1.  1.  1. -1.  1.  1.  1.  1.
  1.  1. -1. -1.  1.  1. -1.  1. -1.  1. -1. -1.  1.  1.  1. -1. -1.  1.
  1.  1.  1. -1.  1.  1.]"
4.016660928726196,[],[],60,[],0.08,0.06,"[ 1.  1.  1.  1. -1. -1. -1. -1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.
  1.  1. -1.  1. -1.  1.  1.  1.  1. -1. -1. -1.  1.  1. -1. -1.  1. -1.
  1. -1.  1.  1. -1. -1. -1.  1. -1. -1.  1. -1. -1.  1.  1. -1.  1. -1.
  1.  1. -1.  1.  1.  1.]"
3.700010061264038,3682,[1],55,[2],0.08,0.06,"[-1.  1.  1. -1. -1.  1. -1.  1.  1.  1. -1.  1. -1. -1.  1.  1.  1.  1.
  1.  1. -1. -1.  1. -1. -1. -1.  1.  1.  1. -1.  1. -1.  1. -1.  1.  1.
 -1.  1.  1. -1. -1.  1. -1. -1.  1. -1.  1. -1.  1. -1.  1.  1.  1.  1.
 -1. -1.  1. -1.  1. -1.]"
2.183500051498413,2168,[1],32,[5],0.08,0.06,"[ 1. -1. -1. -1.  1.  1.  1. -1.  1. -1.  1.  1. -1.  1. -1. -1. -1.  1.
  1.  1. -1.  1. -1.  1. -1.  1.  1.  1. -1.  1. -1.  1. -1. -1.  1.  1.
  1.  1.  1.  1. -1.  1. -1. -1.  1. -1. -1. -1. -1. -1.  1. -1.  1. -1.
  1.  1.  1.  1.  1. -1.]"
4.016622066497803,[],[],60,[],0.08,0.06,"[-1.  1. -1.  1.  1. -1.  1.  1.  1. -1. -1.  1. -1. -1.  1.  1.  1. -1.
  1. -1. -1. -1.  1.  1. -1.  1. -1.  1. -1. -1. -1. -1. -1.  1. -1. -1.
  1.  1.  1. -1. -1.  1.  1.  1.  1. -1.  1. -1.  1.  1.  1.  1. -1. -1.
  1. -1.  1.  1. -1. -1.]"
4.016401052474976,[],[],60,[],0.08,0.06,"[ 1.  1. -1. -1. -1.  1.  1.  1.  1.  1.  1.  1.  1. -1.  1. -1.  1.  1.
  1. -1.  1. -1.  1. -1.  1.  1. -1.  1.  1.  1.  1. -1.  1. -1. -1.  1.
  1.  1. -1. -1.  1. -1.  1. -1. -1.  1.  1.  1. -1.  1. -1. -1. -1.  1.
  1.  1. -1. -1.  1. -1.]"
3.1669089794158936,3143,[1],47,[2],0.08,0.06,"[ 1.  1. -1.  1. -1. -1. -1.  1. -1. -1.  1. -1.  1. -1. -1. -1. -1.  1.
  1.  1. -1. -1. -1. -1.  1. -1. -1. -1.  1.  1. -1. -1.  1. -1.  1.  1.
 -1. -1.  1. -1. -1. -1.  1. -1.  1.  1. -1.  1. -1. -1. -1.  1. -1. -1.
 -1. -1.  1. -1.  1.  1.]"
4.016278982162476,[],[],60,[],0.08,0.06,"[-1. -1.  1. -1. -1.  1.  1.  1. -1.  1.  1.  1. -1.  1.  1. -1. -1. -1.
 -1. -1. -1.  1.  1.  1. -1. -1.  1. -1. -1. -1. -1. -1.  1.  1. -1. -1.
 -1.  1.  1. -1.  1. -1.  1. -1. -1. -1. -1. -1.  1.  1.  1. -1. -1.  1.
  1.  1. -1.  1. -1.  1.]"
0.38364696502685547,364,[1],5,[5],0.08,0.06,"[-1.  1.  1. -1. -1.  1. -1. -1. -1.  1. -1. -1.  1.  1. -1. -1. -1. -1.
  1.  1.  1. -1. -1. -1. -1.  1.  1.  1. -1.  1.  1. -1. -1. -1.  1.  1.
  1. -1.  1.  1. -1. -1.  1.  1.  1.  1.  1.  1. -1.  1. -1.  1. -1.  1.
 -1.  1. -1. -1.  1.  1.]"
4.016645908355713,[],[],60,[],0.08,0.06,"[-1. -1.  1. -1.  1.  1. -1. -1.  1.  1. -1.  1.  1. -1. -1. -1. -1.  1.
 -1.  1. -1.  1.  1. -1. -1.  1.  1.  1. -1. -1.  1. -1.  1. -1.  1. -1.
  1.  1. -1.  1. -1. -1.  1. -1.  1. -1.  1. -1.  1.  1.  1. -1. -1.  1.
 -1.  1. -1. -1. -1.  1.]"
2.3168230056762695,2299,[1],34,[5],0.08,0.06,"[-1. -1.  1.  1. -1. -1. -1.  1.  1.  1.  1. -1. -1. -1.  1.  1. -1.  1.
 -1. -1. -1. -1.  1.  1. -1.  1.  1. -1.  1. -1. -1.  1.  1. -1.  1.  1.
 -1. -1. -1.  1. -1.  1.  1. -1. -1. -1.  1.  1. -1.  1.  1. -1. -1.  1.
  1.  1. -1.  1.  1.  1.]"
