time,bytetime,press,count,key,stimDur,Bias,sequence
3.016758918762207,[],[],60,[],0.05,0.06,"[-1. -1.  1. -1.  1.  1. -1.  1.  1.  1. -1.  1.  1. -1.  1.  1.  1.  1.
 -1.  1.  1. -1.  1.  1.  1.  1.  1.  1. -1.  1. -1. -1. -1.  1.  1. -1.
 -1. -1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
 -1. -1. -1.  1.  1.  1.]"
3.0159621238708496,[],[],60,[],0.05,0.06,"[-1. -1.  1.  1. -1.  1. -1.  1.  1. -1. -1.  1.  1.  1. -1. -1. -1. -1.
 -1. -1. -1.  1.  1. -1. -1. -1. -1.  1. -1. -1.  1. -1.  1. -1.  1.  1.
  1.  1. -1. -1.  1.  1.  1. -1. -1. -1.  1.  1.  1.  1. -1. -1. -1. -1.
 -1.  1. -1. -1. -1.  1.]"
2.251309871673584,2231,[1],44,[2],0.05,0.06,"[-1.  1.  1. -1. -1. -1. -1. -1. -1. -1. -1.  1. -1. -1. -1. -1.  1. -1.
  1.  1.  1. -1.  1. -1.  1. -1. -1. -1. -1.  1. -1. -1. -1.  1. -1. -1.
 -1.  1. -1.  1.  1.  1.  1.  1.  1. -1. -1.  1.  1. -1. -1. -1. -1.  1.
 -1.  1. -1. -1.  1. -1.]"
3.0135409832000732,[],[],60,[],0.05,0.06,"[-1. -1.  1. -1.  1.  1. -1.  1. -1.  1.  1. -1. -1.  1.  1.  1. -1.  1.
  1. -1. -1.  1. -1.  1. -1.  1. -1.  1.  1.  1.  1. -1. -1. -1.  1. -1.
 -1. -1.  1.  1.  1. -1. -1. -1. -1. -1. -1.  1. -1. -1. -1.  1.  1.  1.
 -1. -1.  1. -1. -1.  1.]"
3.0166261196136475,[],[],60,[],0.05,0.06,"[-1. -1.  1.  1.  1.  1.  1. -1. -1. -1.  1. -1.  1.  1. -1.  1. -1.  1.
 -1. -1. -1. -1.  1. -1.  1. -1. -1.  1. -1. -1. -1. -1.  1. -1.  1.  1.
 -1.  1. -1.  1.  1. -1. -1.  1.  1. -1.  1. -1. -1.  1. -1. -1. -1. -1.
 -1.  1. -1.  1.  1. -1.]"
3.0162081718444824,[],[],60,[],0.05,0.06,"[-1. -1.  1. -1.  1.  1. -1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1.
  1.  1. -1.  1.  1.  1. -1.  1. -1. -1. -1. -1. -1.  1. -1. -1.  1. -1.
 -1.  1.  1.  1.  1.  1.  1. -1.  1.  1. -1.  1.  1. -1. -1.  1. -1. -1.
 -1. -1.  1. -1. -1. -1.]"
3.015904188156128,[],[],60,[],0.05,0.06,"[ 1. -1. -1.  1. -1.  1.  1.  1.  1. -1. -1. -1.  1.  1. -1. -1.  1.  1.
 -1. -1. -1.  1.  1.  1.  1.  1.  1. -1. -1. -1.  1.  1. -1. -1. -1. -1.
  1.  1. -1. -1.  1. -1.  1.  1. -1.  1.  1.  1. -1.  1.  1.  1. -1.  1.
  1.  1. -1. -1. -1.  1.]"
3.0138678550720215,[],[],60,[],0.05,0.06,"[-1. -1.  1.  1.  1. -1.  1.  1.  1. -1.  1. -1.  1.  1. -1. -1. -1. -1.
  1. -1. -1. -1.  1.  1.  1.  1. -1.  1.  1. -1.  1.  1. -1. -1.  1. -1.
 -1.  1.  1.  1.  1.  1.  1. -1. -1.  1. -1.  1. -1. -1.  1.  1.  1.  1.
 -1. -1.  1. -1.  1.  1.]"
1.883854866027832,1868,[1],37,[2],0.05,0.06,"[ 1.  1. -1. -1. -1. -1.  1.  1. -1.  1.  1. -1. -1.  1.  1.  1. -1. -1.
  1. -1. -1.  1. -1. -1.  1.  1. -1.  1. -1. -1. -1.  1.  1. -1. -1. -1.
 -1. -1. -1. -1.  1.  1. -1.  1.  1.  1. -1. -1. -1. -1. -1.  1.  1. -1.
  1. -1.  1.  1. -1. -1.]"
2.2835161685943604,2271,[1],45,[5],0.05,0.06,"[-1. -1.  1. -1.  1.  1. -1.  1.  1. -1.  1.  1.  1.  1.  1.  1. -1.  1.
 -1. -1.  1. -1.  1.  1.  1. -1. -1. -1. -1. -1.  1.  1.  1. -1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1. -1.  1. -1.  1. -1.  1. -1.  1.  1. -1.
 -1.  1.  1. -1.  1. -1.]"
