time,bytetime,press,count,key,stimDur,Bias,sequence
4.4407970905303955,4427,[1],60,[2],0.05,0.06,"[ 1.  1.  1. -1. -1. -1.  1. -1.  1.  1.  1.  1.  1.  1. -1.  1. -1.  1.
  1. -1.  1. -1.  1.  1.  1. -1. -1.  1. -1. -1.  1. -1.  1. -1. -1. -1.
 -1.  1.  1.  1.  1.  1. -1.  1.  1. -1. -1.  1.  1. -1.  1.  1.  1.  1.
 -1. -1.  1.  1. -1.  1.]"
4.131212949752808,4126,[1],60,[2],0.05,0.06,"[ 1.  1.  1. -1. -1. -1.  1. -1.  1.  1. -1. -1.  1.  1. -1. -1.  1. -1.
 -1. -1.  1.  1. -1. -1.  1.  1.  1. -1.  1. -1.  1. -1.  1.  1. -1.  1.
  1. -1. -1. -1. -1. -1. -1.  1.  1.  1. -1.  1. -1. -1. -1. -1. -1.  1.
 -1. -1.  1.  1.  1. -1.]"
