time,bytetime,press,count,key,stimDur,Bias,sequence
1.432041883468628,1426,[1],2,[2],0.5,0.12,"[-1. -1. -1.  1.  1.  1.  1.  1.  1. -1. -1.  1.  1. -1.  1. -1.  1.  1.
 -1.  1.  1. -1. -1. -1. -1.  1. -1. -1. -1.  1.]"
2.8664660453796387,2859,[1],5,[5],0.5,0.12,"[-1.  1. -1.  1.  1.  1. -1. -1.  1. -1.  1.  1.  1.  1. -1. -1.  1.  1.
  1. -1.  1.  1. -1. -1.  1.  1. -1.  1. -1. -1.]"
1.882066011428833,1860,[1],3,[2],0.5,0.12,"[-1. -1. -1. -1. -1.  1.  1. -1.  1. -1. -1.  1. -1. -1. -1. -1.  1. -1.
  1.  1. -1.  1.  1.  1.  1.  1.  1. -1. -1. -1.]"
1.898710012435913,1885,[1],3,[5],0.5,0.12,"[-1.  1.  1.  1.  1.  1.  1. -1.  1. -1. -1. -1.  1. -1. -1.  1. -1.  1.
 -1. -1.  1. -1. -1.  1. -1.  1. -1.  1.  1. -1.]"
1.5153861045837402,1508,[1],3,[5],0.5,0.12,"[ 1.  1.  1.  1. -1.  1.  1. -1. -1. -1. -1. -1.  1. -1. -1. -1. -1.  1.
  1.  1. -1.  1. -1. -1.  1. -1.  1. -1. -1. -1.]"
1.85001802444458,1830,[1],3,[5],0.5,0.12,"[ 1. -1.  1.  1. -1.  1.  1. -1. -1. -1. -1.  1.  1.  1.  1.  1. -1.  1.
  1.  1.  1.  1. -1.  1.  1. -1. -1.  1. -1.  1.]"
2.3667409420013428,2357,[1],4,[5],0.5,0.12,"[ 1. -1. -1.  1.  1. -1.  1. -1.  1. -1. -1. -1.  1. -1.  1. -1.  1.  1.
  1.  1. -1. -1.  1. -1.  1.  1. -1. -1.  1.  1.]"
2.015408992767334,2000,[1],4,[5],0.5,0.12,"[-1. -1.  1. -1.  1. -1. -1.  1. -1.  1. -1. -1. -1. -1.  1. -1. -1. -1.
 -1.  1. -1. -1.  1.  1. -1. -1.  1. -1. -1. -1.]"
2.8653740882873535,2843,[1],5,[5],0.5,0.12,"[-1. -1.  1.  1.  1.  1. -1. -1. -1. -1.  1. -1. -1.  1.  1.  1.  1. -1.
  1.  1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1.]"
1.7152419090270996,1687,[1],3,[2],0.5,0.12,"[-1. -1. -1. -1. -1.  1.  1. -1.  1. -1. -1.  1.  1.  1.  1. -1.  1. -1.
  1. -1.  1. -1.  1. -1. -1. -1. -1.  1. -1. -1.]"
