time,bytetime,press,count,key,stimDur,Bias,sequence
2.897674798965454,2888,[1],28,[5],0.1,0.06,"[ 1. -1.  1. -1. -1.  1. -1.  1.  1. -1.  1. -1.  1.  1. -1. -1. -1. -1.
  1. -1.  1. -1.  1.  1. -1. -1. -1.  1.  1.  1.  1.  1. -1.  1. -1.  1.
  1. -1.  1. -1. -1. -1. -1.  1. -1.  1. -1.  1.  1.  1. -1.  1. -1. -1.
 -1.  1. -1. -1. -1.  1.]"
2.9494168758392334,2935,[1],29,[5],0.1,0.06,"[ 1. -1. -1. -1. -1.  1. -1.  1. -1.  1. -1. -1.  1. -1.  1. -1.  1. -1.
 -1.  1. -1.  1.  1.  1. -1.  1. -1. -1. -1.  1. -1. -1. -1.  1.  1. -1.
  1. -1. -1.  1. -1. -1. -1.  1. -1.  1.  1. -1.  1. -1. -1. -1. -1. -1.
  1. -1. -1. -1.  1.  1.]"
4.583457946777344,4557,[1],45,[5],0.1,0.06,"[-1.  1. -1.  1.  1. -1.  1. -1. -1.  1.  1. -1.  1.  1. -1.  1.  1. -1.
 -1. -1.  1. -1.  1.  1.  1. -1.  1.  1. -1. -1. -1. -1. -1. -1. -1. -1.
  1.  1.  1. -1. -1.  1. -1. -1. -1.  1. -1.  1. -1.  1. -1.  1.  1.  1.
  1. -1.  1.  1.  1. -1.]"
6.019016981124878,[],[],60,[],0.1,0.06,"[ 1. -1.  1. -1. -1.  1. -1. -1.  1.  1.  1. -1. -1.  1.  1.  1. -1.  1.
 -1. -1.  1.  1.  1.  1.  1. -1. -1.  1.  1. -1. -1. -1. -1.  1.  1.  1.
 -1.  1.  1. -1. -1. -1.  1.  1.  1.  1.  1. -1. -1.  1.  1.  1.  1. -1.
  1. -1.  1. -1.  1.  1.]"
2.2006819248199463,2185,[1],21,[2],0.1,0.06,"[ 1. -1.  1. -1. -1. -1. -1. -1.  1.  1.  1. -1.  1. -1. -1.  1. -1.  1.
 -1. -1.  1. -1. -1.  1. -1. -1. -1. -1.  1.  1. -1.  1. -1.  1.  1. -1.
  1.  1. -1.  1. -1. -1.  1.  1.  1.  1. -1.  1. -1.  1. -1. -1.  1.  1.
  1.  1. -1. -1. -1.  1.]"
3.1999869346618652,3188,[1],31,[2],0.1,0.06,"[-1. -1.  1. -1. -1. -1.  1.  1. -1.  1. -1.  1.  1.  1.  1.  1.  1.  1.
 -1.  1. -1.  1.  1. -1.  1.  1.  1.  1.  1. -1.  1.  1.  1. -1.  1.  1.
 -1.  1. -1.  1. -1.  1.  1.  1. -1.  1. -1. -1. -1. -1. -1.  1.  1.  1.
  1.  1. -1. -1.  1.  1.]"
6.018356084823608,[],[],60,[],0.1,0.06,"[-1.  1.  1. -1. -1.  1. -1.  1. -1. -1.  1. -1.  1.  1.  1. -1.  1.  1.
  1.  1. -1. -1. -1.  1. -1.  1.  1.  1.  1.  1. -1. -1.  1.  1. -1. -1.
  1.  1. -1.  1.  1.  1. -1. -1.  1.  1.  1.  1. -1. -1.  1. -1. -1.  1.
  1.  1.  1.  1.  1. -1.]"
3.216176986694336,3199,[1],32,[2],0.1,0.06,"[ 1. -1.  1.  1.  1.  1.  1.  1. -1. -1.  1.  1. -1. -1. -1. -1. -1. -1.
  1.  1.  1. -1. -1.  1. -1.  1. -1. -1. -1. -1. -1. -1.  1. -1. -1. -1.
 -1. -1. -1.  1.  1. -1. -1.  1.  1.  1. -1. -1.  1. -1. -1. -1.  1. -1.
  1. -1.  1.  1. -1. -1.]"
2.8668580055236816,2853,[1],28,[2],0.1,0.06,"[-1. -1.  1.  1. -1.  1.  1. -1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.
  1. -1. -1.  1.  1. -1. -1. -1.  1.  1.  1.  1. -1. -1.  1. -1. -1.  1.
  1. -1.  1. -1.  1.  1.  1.  1.  1. -1. -1.  1.  1.  1. -1.  1.  1.  1.
  1.  1. -1.  1. -1. -1.]"
5.234143972396851,5214,[1],52,[2],0.1,0.06,"[ 1.  1. -1. -1. -1.  1.  1. -1.  1.  1. -1. -1. -1.  1. -1. -1. -1. -1.
  1.  1. -1.  1. -1. -1. -1. -1. -1. -1.  1.  1. -1.  1. -1.  1. -1. -1.
  1. -1.  1.  1. -1. -1. -1. -1. -1. -1.  1.  1. -1. -1.  1. -1. -1. -1.
  1. -1.  1.  1. -1. -1.]"
