time,bytetime,press,count,key,stimDur,Bias,sequence
6.366197109222412,6355,[1],60,[2],0.05,0.06,"[-1.  1.  1.  1.  1.  1.  1. -1. -1.  1.  1.  1.  1.  1.  1. -1.  1. -1.
 -1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1.  1.  1.  1.  1.  1.  1.  1.
  1.  1. -1.  1.  1.  1. -1.  1. -1. -1.  1.  1.  1.  1. -1. -1.  1. -1.
  1. -1. -1.  1. -1.  1.]"
6.065877914428711,6056,[1],60,[5],0.05,0.06,"[-1. -1. -1.  1. -1. -1. -1.  1. -1.  1. -1.  1. -1. -1.  1.  1. -1. -1.
  1. -1.  1. -1. -1.  1. -1. -1.  1. -1.  1.  1.  1. -1.  1.  1.  1. -1.
 -1.  1.  1. -1. -1. -1. -1. -1.  1. -1.  1.  1.  1. -1.  1. -1.  1.  1.
 -1. -1.  1.  1.  1. -1.]"
