time,bytetime,press,count,key,stimDur,Bias,sequence
4.930706024169922,4916,[1],24,[5],0.2,0.06,"[-1.  1. -1. -1. -1. -1.  1. -1. -1.  1. -1. -1. -1.  1. -1.  1. -1. -1.
  1. -1. -1.  1. -1. -1. -1.  1. -1.  1.  1.  1.  1. -1.  1. -1. -1.  1.
  1.  1.  1.  1.  1. -1. -1.  1.  1. -1.  1.  1. -1. -1.  1. -1. -1. -1.
  1. -1.  1. -1. -1. -1.]"
1.3499388694763184,1329,[1],6,[5],0.2,0.06,"[-1. -1.  1.  1.  1. -1.  1. -1. -1. -1. -1. -1.  1.  1.  1.  1. -1.  1.
  1. -1.  1.  1. -1. -1.  1. -1.  1. -1.  1. -1.  1.  1. -1.  1.  1. -1.
 -1.  1. -1.  1. -1. -1.  1. -1. -1.  1. -1.  1. -1.  1. -1. -1.  1.  1.
  1.  1. -1. -1. -1. -1.]"
