time,bytetime,press,count,key,stimDur,Bias,sequence
2.599938154220581,2589,[1],51,[2],0.05,0.06,"[-1.  1.  1. -1.  1. -1.  1. -1. -1.  1.  1. -1. -1. -1. -1. -1.  1. -1.
  1. -1. -1.  1.  1.  1. -1. -1.  1. -1. -1. -1. -1. -1. -1. -1.  1. -1.
  1.  1. -1.  1.  1. -1. -1.  1.  1.  1.  1. -1.  1. -1. -1. -1. -1.  1.
 -1. -1. -1. -1. -1.  1.]"
3.0166947841644287,[],[],60,[],0.05,0.06,"[ 1. -1.  1.  1.  1.  1.  1. -1. -1.  1.  1.  1.  1.  1.  1. -1.  1.  1.
  1. -1.  1. -1.  1.  1.  1.  1.  1. -1.  1. -1. -1. -1. -1.  1. -1. -1.
  1. -1.  1.  1. -1. -1. -1. -1.  1.  1.  1.  1.  1.  1. -1.  1. -1.  1.
 -1.  1.  1.  1.  1.  1.]"
3.0166211128234863,[],[],60,[],0.05,0.06,"[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.  1. -1. -1.  1.  1.
 -1. -1.  1. -1. -1. -1. -1. -1. -1. -1. -1.  1. -1.  1. -1. -1. -1.  1.
 -1. -1. -1.  1. -1. -1.  1. -1.  1.  1. -1. -1. -1.  1.  1. -1.  1. -1.
 -1.  1.  1.  1. -1. -1.]"
2.284789800643921,2270,[1],45,[2],0.05,0.06,"[-1. -1.  1.  1. -1. -1. -1. -1. -1.  1.  1.  1.  1. -1. -1.  1.  1.  1.
 -1.  1.  1.  1.  1. -1. -1.  1.  1. -1.  1. -1.  1. -1. -1. -1.  1.  1.
 -1. -1.  1. -1.  1. -1.  1. -1. -1. -1.  1.  1.  1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1.]"
1.9338231086730957,1906,[1],38,[2],0.05,0.06,"[-1.  1. -1.  1. -1. -1. -1.  1. -1. -1.  1.  1. -1.  1. -1. -1.  1. -1.
 -1. -1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1.
 -1.  1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1.  1.  1.  1. -1. -1.
  1.  1. -1. -1. -1.  1.]"
3.0166289806365967,[],[],60,[],0.05,0.06,"[-1. -1.  1. -1. -1. -1. -1.  1. -1.  1.  1. -1. -1.  1.  1.  1. -1. -1.
  1. -1. -1. -1.  1.  1. -1.  1. -1.  1.  1.  1. -1. -1.  1. -1. -1.  1.
 -1. -1.  1. -1.  1.  1. -1. -1. -1. -1.  1. -1.  1. -1. -1.  1. -1. -1.
 -1. -1. -1. -1.  1. -1.]"
3.0164921283721924,[],[],60,[],0.05,0.06,"[-1.  1.  1. -1. -1.  1.  1. -1.  1. -1.  1.  1.  1. -1.  1.  1.  1. -1.
  1.  1. -1. -1. -1. -1. -1.  1.  1. -1. -1. -1.  1. -1. -1.  1.  1.  1.
  1. -1. -1. -1. -1. -1. -1. -1. -1.  1. -1. -1.  1.  1.  1. -1. -1. -1.
  1. -1. -1. -1. -1.  1.]"
1.5492539405822754,1527,[1],30,[2],0.05,0.06,"[-1.  1. -1.  1. -1.  1. -1. -1. -1. -1. -1.  1. -1.  1. -1. -1.  1. -1.
  1.  1.  1.  1. -1.  1. -1.  1. -1. -1. -1. -1. -1.  1.  1.  1.  1. -1.
 -1.  1. -1.  1. -1.  1.  1.  1. -1.  1. -1. -1.  1. -1.  1.  1.  1.  1.
  1.  1.  1. -1.  1. -1.]"
3.015115976333618,[],[],60,[],0.05,0.06,"[ 1.  1. -1. -1. -1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1.  1.  1.  1.
  1.  1.  1.  1. -1.  1.  1. -1.  1.  1.  1. -1. -1. -1. -1. -1. -1.  1.
  1. -1.  1. -1. -1.  1. -1. -1.  1. -1. -1. -1.  1. -1.  1. -1.  1. -1.
  1. -1. -1.  1.  1. -1.]"
3.0167181491851807,[],[],60,[],0.05,0.06,"[-1.  1.  1.  1.  1. -1.  1. -1.  1.  1.  1. -1. -1. -1. -1.  1.  1.  1.
  1.  1. -1. -1.  1.  1. -1. -1. -1.  1.  1. -1.  1. -1. -1.  1.  1.  1.
  1.  1.  1. -1. -1.  1.  1.  1. -1.  1. -1.  1. -1. -1.  1.  1. -1. -1.
  1.  1.  1.  1.  1.  1.]"
